dataset,emb,rerank,query,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,pos9,pos10,pos11
foreign_english_1800,sentence-transformers-all-MiniLM-L6-v2,,200,37,10,3,4,0,2,2,3,0,3,136
foreign_foreign_2000,sentence-transformers-all-MiniLM-L6-v2,,200,5,0,0,2,0,0,0,2,1,1,189
golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,,200,43,33,24,18,15,10,7,5,2,4,39
images_captions_v1_2293,sentence-transformers-all-MiniLM-L6-v2,,200,60,20,14,12,4,4,4,11,3,2,66
msmarco_2000,sentence-transformers-all-MiniLM-L6-v2,,200,179,16,1,2,0,0,0,0,0,1,1
papers_dataset_924,sentence-transformers-all-MiniLM-L6-v2,,200,111,18,11,7,7,10,2,3,2,0,29
question_golden_answer_2000,sentence-transformers-all-MiniLM-L6-v2,,200,75,49,20,15,8,6,0,1,1,2,23
wikiqa_2223,sentence-transformers-all-MiniLM-L6-v2,,200,166,21,4,0,0,0,2,0,0,2,5
yahoo_2000,sentence-transformers-all-MiniLM-L6-v2,,200,123,25,7,2,2,6,6,4,2,1,22
foreign_english_1800,sentence-transformers-all-MiniLM-L12-v2,,200,61,6,2,0,1,0,4,1,1,0,124
foreign_foreign_2000,sentence-transformers-all-MiniLM-L12-v2,,200,14,2,5,3,3,0,4,5,4,2,158
golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,,200,44,37,29,18,11,7,2,4,3,3,42
images_captions_v1_2293,sentence-transformers-all-MiniLM-L12-v2,,200,67,13,16,13,11,5,4,3,2,6,60
msmarco_2000,sentence-transformers-all-MiniLM-L12-v2,,200,166,24,1,0,1,2,1,1,1,0,3
papers_dataset_924,sentence-transformers-all-MiniLM-L12-v2,,200,96,17,9,7,6,5,3,2,2,1,52
question_golden_answer_2000,sentence-transformers-all-MiniLM-L12-v2,,200,76,43,21,10,11,6,1,3,2,3,24
wikiqa_2223,sentence-transformers-all-MiniLM-L12-v2,,200,168,14,4,1,2,1,1,1,1,1,6
yahoo_2000,sentence-transformers-all-MiniLM-L12-v2,,200,122,20,13,11,2,0,6,1,1,4,20
foreign_english_1800,sentence-transformers-all-mpnet-base-v2,,200,46,9,2,4,4,0,1,3,1,0,130
foreign_foreign_2000,sentence-transformers-all-mpnet-base-v2,,200,8,1,4,3,2,3,1,1,1,0,176
golden_answer_2000,sentence-transformers-all-mpnet-base-v2,,200,52,33,22,17,12,8,5,6,6,6,33
images_captions_v1_2293,sentence-transformers-all-mpnet-base-v2,,200,65,23,12,1,14,6,4,2,5,4,64
msmarco_2000,sentence-transformers-all-mpnet-base-v2,,200,183,14,1,1,0,0,0,0,0,0,1
papers_dataset_924,sentence-transformers-all-mpnet-base-v2,,200,148,15,9,5,3,1,2,1,2,1,13
question_golden_answer_2000,sentence-transformers-all-mpnet-base-v2,,200,89,44,24,10,7,7,2,2,1,3,11
wikiqa_2223,sentence-transformers-all-mpnet-base-v2,,200,168,21,4,1,2,1,2,0,0,0,1
yahoo_2000,sentence-transformers-all-mpnet-base-v2,,200,141,15,8,6,4,7,1,1,4,1,12
foreign_english_1800,BAAI-bge-base-en-v1.5,,200,44,11,1,2,3,0,1,4,1,1,132
foreign_foreign_2000,BAAI-bge-base-en-v1.5,,200,31,13,5,3,5,7,3,2,1,4,126
golden_answer_2000,BAAI-bge-base-en-v1.5,,200,58,30,28,14,14,9,5,7,3,2,30
images_captions_v1_2293,BAAI-bge-base-en-v1.5,,200,60,32,8,12,5,6,5,3,3,10,56
msmarco_2000,BAAI-bge-base-en-v1.5,,200,181,15,1,0,2,0,0,0,0,0,1
papers_dataset_924,BAAI-bge-base-en-v1.5,,200,138,17,10,3,3,3,4,1,1,2,18
question_golden_answer_2000,BAAI-bge-base-en-v1.5,,200,90,39,26,9,11,5,1,2,2,3,12
wikiqa_2223,BAAI-bge-base-en-v1.5,,200,170,20,3,3,0,0,0,0,0,0,4
yahoo_2000,BAAI-bge-base-en-v1.5,,200,118,21,13,6,3,4,1,2,1,0,31
foreign_english_1800,BAAI-bge-base-en-v1.5,,200,44,11,1,2,3,0,1,4,1,1,132
foreign_foreign_2000,BAAI-bge-base-en-v1.5,,200,31,13,5,3,5,7,3,2,1,4,126
golden_answer_2000,BAAI-bge-base-en-v1.5,,200,58,30,28,14,14,9,5,7,3,2,30
images_captions_v1_2293,BAAI-bge-base-en-v1.5,,200,60,32,8,12,5,6,5,3,3,10,56
msmarco_2000,BAAI-bge-base-en-v1.5,,200,181,15,1,0,2,0,0,0,0,0,1
papers_dataset_924,BAAI-bge-base-en-v1.5,,200,138,17,10,3,3,3,4,1,1,2,18
question_golden_answer_2000,BAAI-bge-base-en-v1.5,,200,90,39,26,9,11,5,1,2,2,3,12
wikiqa_2223,BAAI-bge-base-en-v1.5,,200,170,20,3,3,0,0,0,0,0,0,4
yahoo_2000,BAAI-bge-base-en-v1.5,,200,118,21,13,6,3,4,1,2,1,0,31
foreign_english_1800,thenlper-gte-large,,200,66,4,1,1,0,2,0,0,1,1,124
foreign_foreign_2000,thenlper-gte-large,,200,21,1,6,5,3,4,1,5,5,3,146
golden_answer_2000,thenlper-gte-large,,200,56,37,30,17,12,9,6,4,4,3,22
images_captions_v1_2293,thenlper-gte-large,,200,69,29,13,9,8,2,9,4,3,2,52
msmarco_2000,thenlper-gte-large,,200,185,12,1,0,0,1,0,0,0,0,1
papers_dataset_924,thenlper-gte-large,,200,170,11,7,2,1,0,0,2,0,1,6
